,name,marka,model,parts_number,oll_number,image_url,price,group
36,Насос основной,Hyundai,r180w-9,k5v80dtp,117,https://гидро-насос.рф/wp-content/uploads/2019/02/31Q9-10030-1-480x480.jpg,150000,насос/гидравлический/основной
37,Насос основной,Hyundai,r210lc-7,k3v112dt,111,https://гидро-насос.рф/wp-content/uploads/2019/02/31Q9-10030-1-480x480.jpg,180000,насос/гидравлический/основной
38,Насос основной,Hyundai,r210lc-7,31n6-10010,111,https://гидро-насос.рф/wp-content/uploads/2019/02/31Q9-10030-1-480x480.jpg,180000,насос/гидравлический/основной
39,Насос основной,Hyundai,r210lc-7,31n6-10050,111,https://гидро-насос.рф/wp-content/uploads/2019/02/31Q9-10030-1-480x480.jpg,180000,насос/гидравлический/основной
40,Насос основной,Hyundai,r210lc-7,31n6-10051,111,https://гидро-насос.рф/wp-content/uploads/2019/02/31Q9-10030-1-480x480.jpg,180000,насос/гидравлический/основной
41,Насос основной,Hyundai,r210lc-7,31n6-10080,111,https://гидро-насос.рф/wp-content/uploads/2019/02/31Q9-10030-1-480x480.jpg,180000,насос/гидравлический/основной
42,Насос основной,Hyundai,r210lc-7,31n6-10020,111,https://гидро-насос.рф/wp-content/uploads/2019/02/31Q9-10030-1-480x480.jpg,180000,насос/гидравлический/основной
43,Насос основной,Hyundai,r210lc-7,31n7-10010,111,https://гидро-насос.рф/wp-content/uploads/2019/02/31Q9-10030-1-480x480.jpg,180000,насос/гидравлический/основной
44,Насос основной,Hyundai,r210lc-7,31n6-10051,111,https://гидро-насос.рф/wp-content/uploads/2019/02/31Q9-10030-1-480x480.jpg,180000,насос/гидравлический/основной
45,Насос основной,Hyundai,r250lc-7,k3v112dt,111,https://гидро-насос.рф/wp-content/uploads/2019/02/31Q9-10030-1-480x480.jpg,180000,насос/гидравлический/основной
46,Насос основной,Hyundai,r250lc-7,31n6-10010,111,https://гидро-насос.рф/wp-content/uploads/2019/02/31Q9-10030-1-480x480.jpg,180000,насос/гидравлический/основной
47,Насос основной,Hyundai,r250lc-7,31n6-10050,111,https://гидро-насос.рф/wp-content/uploads/2019/02/31Q9-10030-1-480x480.jpg,180000,насос/гидравлический/основной
48,Насос основной,Hyundai,r250lc-7,31n6-10051,111,https://гидро-насос.рф/wp-content/uploads/2019/02/31Q9-10030-1-480x480.jpg,180000,насос/гидравлический/основной
49,Насос основной,Hyundai,r250lc-7,31n6-10080,111,https://гидро-насос.рф/wp-content/uploads/2019/02/31Q9-10030-1-480x480.jpg,180000,насос/гидравлический/основной
50,Насос основной,Hyundai,r250lc-7,31n6-10020,111,https://гидро-насос.рф/wp-content/uploads/2019/02/31Q9-10030-1-480x480.jpg,180000,насос/гидравлический/основной
